Index,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
0,1424696638740,27920678471000,-0.5650316,-9.572019,-0.61411273,a,gear,gear_1,stand
1,1424696638740,27920681910000,-0.83258367,-9.713276,-0.60693014,a,gear,gear_1,stand
2,1424696638740,27920692014000,-1.0181342,-9.935339,-0.54408234,a,gear,gear_1,stand
3,1424696638741,27920701983000,-1.2228385,-10.142437,-0.5662287,a,gear,gear_1,stand
4,1424696638741,27920711906000,-1.5771804,-10.480618,-0.40282443,a,gear,gear_1,stand
5,1424696638741,27920721675000,-2.1643584,-10.920552,-0.18375498,a,gear,gear_1,stand
6,1424696638741,27920731721000,-2.973,-11.063007,0.21188685,a,gear,gear_1,stand
7,1424696638741,27920743061000,-3.8881836,-11.08276,0.6847417,a,gear,gear_1,stand
8,1424696638742,27920751586000,-4.8919525,-10.890625,1.01574,a,gear,gear_1,stand
9,1424696638742,27920825873000,-12.600683,-7.674015,-1.1791444,a,gear,gear_1,stand
10,1424696638742,27920827227000,-9.214086,-4.5567646,0.2172738,a,gear,gear_1,stand
11,1424696638742,27920830887000,-9.214086,-4.5567646,0.2172738,a,gear,gear_1,stand
12,1424696638742,27920840675000,-9.240421,-4.104859,0.22325931,a,gear,gear_1,stand
13,1424696638743,27920853362000,-9.273342,-3.7295678,0.24061728,a,gear,gear_1,stand
14,1424696638897,27921589696000,-9.1668,-3.6703112,-0.729633,a,gear,gear_1,stand
15,1424696639000,27921599563000,-9.153033,-3.6056678,-0.7326257,a,gear,gear_1,stand
16,1424696639001,27921609644000,-9.1512375,-3.6122518,-0.74519527,a,gear,gear_1,stand
17,1424696639001,27921619491000,-9.202713,-3.6463692,-0.729633,a,gear,gear_1,stand
18,1424696639001,27921629562000,-9.288904,-3.7361517,-0.7266402,a,gear,gear_1,stand
19,1424696639001,27921639447000,-9.2907,-3.7720647,-0.7302315,a,gear,gear_1,stand
20,1424696639001,27921649504000,-9.2308445,-3.809175,-0.7799112,a,gear,gear_1,stand
21,1424696639001,27921659252000,-9.1350765,-3.7391446,-0.7733272,a,gear,gear_1,stand
22,1424696639001,27921669440000,-9.127894,-3.6703112,-0.82779527,a,gear,gear_1,stand
23,1424696639001,27921679146000,-9.196129,-3.626617,-0.8523358,a,gear,gear_1,stand
32,1424696639002,27921768862000,-9.236232,-3.7128084,-0.8038532,a,gear,gear_1,stand
30,1424696639002,27921748911000,-9.200917,-3.6846764,-0.7152678,a,gear,gear_1,stand
29,1424696639002,27921738843000,-9.148843,-3.650559,-0.6919243,a,gear,gear_1,stand
28,1424696639002,27921729086000,-9.152434,-3.6170402,-0.682946,a,gear,gear_1,stand
31,1424696639002,27921758637000,-9.221867,-3.7014358,-0.7781156,a,gear,gear_1,stand
26,1424696639002,27921709135000,-9.314642,-3.6116533,-0.7338228,a,gear,gear_1,stand
25,1424696639002,27921699105000,-9.3499565,-3.5571852,-0.75477207,a,gear,gear_1,stand
27,1424696639002,27921718904000,-9.238028,-3.620033,-0.6985083,a,gear,gear_1,stand
24,1424696639002,27921689253000,-9.302073,-3.5637693,-0.82360536,a,gear,gear_1,stand
33,1424696639003,27921778585000,-9.25359,-3.7134068,-0.81283146,a,gear,gear_1,stand
34,1424696639003,27921788664000,-9.231443,-3.751714,-0.83737206,a,gear,gear_1,stand
35,1424696639003,27921798537000,-9.231443,-3.7445314,-0.8451532,a,gear,gear_1,stand
36,1424696639006,27921848283000,-9.207501,-3.6134489,-0.7410054,a,gear,gear_1,stand
37,1424696639016,27921858032000,-9.144653,-3.6302083,-0.6775591,a,gear,gear_1,stand
38,1424696639026,27921868107000,-9.106346,-3.6463692,-0.6631939,a,gear,gear_1,stand
39,1424696639036,27921877912000,-9.110536,-3.6780925,-0.6907272,a,gear,gear_1,stand
40,1424696639046,27921887998000,-9.100959,-3.7373488,-0.6733692,a,gear,gear_1,stand
41,1424696639056,27921897802000,-9.100959,-3.7978024,-0.66738373,a,gear,gear_1,stand
42,1424696639066,27921907891000,-9.10455,-3.803788,-0.712275,a,gear,gear_1,stand
43,1424696639076,27921917692000,-9.119514,-3.763685,-0.7469909,a,gear,gear_1,stand
44,1424696639086,27921927783000,-9.112331,-3.7714663,-0.8571242,a,gear,gear_1,stand
45,1424696639095,27921937585000,-9.141661,-3.755904,-0.85293436,a,gear,gear_1,stand
46,1424696639106,27921947677000,-9.156625,-3.7253778,-0.86969376,a,gear,gear_1,stand
47,1424696639115,27921957478000,-9.154829,-3.7565024,-0.90859956,a,gear,gear_1,stand
48,1424696639125,27921967571000,-9.181764,-3.7541082,-0.89543146,a,gear,gear_1,stand
49,1424696639135,27921977375000,-9.141062,-3.7660792,-0.8888474,a,gear,gear_1,stand
50,1424696639145,27921987468000,-9.143456,-3.7666779,-0.85891986,a,gear,gear_1,stand
51,1424696639155,27921997269000,-9.0842,-3.738546,-0.84335756,a,gear,gear_1,stand
52,1424696639165,27922007362000,-9.050082,-3.7588966,-0.84575176,a,gear,gear_1,stand
53,1424696639175,27922017164000,-9.045294,-3.7487214,-0.91458505,a,gear,gear_1,stand
54,1424696639185,27922027288000,-9.009381,-3.7062242,-0.91937345,a,gear,gear_1,stand
55,1424696639195,27922037094000,-9.04709,-3.709217,-0.9528923,a,gear,gear_1,stand
56,1424696639205,27922047181000,-9.081805,-3.719991,-1.0235212,a,gear,gear_1,stand
57,1424696639215,27922056981000,-9.109339,-3.7487214,-0.99419224,a,gear,gear_1,stand
58,1424696639225,27922067073000,-9.102755,-3.739743,-1.0360907,a,gear,gear_1,stand
59,1424696639235,27922076877000,-9.108142,-3.7247794,-1.0193313,a,gear,gear_1,stand
60,1424696639245,27922086974000,-9.160814,-3.6936548,-1.0498575,a,gear,gear_1,stand
61,1424696639255,27922096773000,-9.196129,-3.6595373,-1.0654198,a,gear,gear_1,stand
62,1424696639265,27922106861000,-9.264363,-3.627814,-1.1204864,a,gear,gear_1,stand
63,1424696639275,27922116663000,-9.340978,-3.614646,-1.0941502,a,gear,gear_1,stand
64,1424696639285,27922126758000,-9.355942,-3.5859156,-1.168969,a,gear,gear_1,stand
65,1424696639295,27922136562000,-9.300875,-3.484162,-1.1905168,a,gear,gear_1,stand
66,1424696639305,27922146651000,-9.22426,-3.4237084,-1.2192472,a,gear,gear_1,stand
67,1424696639314,27922156455000,-9.172785,-3.3530796,-1.2294226,a,gear,gear_1,stand
68,1424696639325,27922166543000,-9.094974,-3.3369186,-1.2659341,a,gear,gear_1,stand
69,1424696639334,27922176351000,-9.022549,-3.359065,-1.2120646,a,gear,gear_1,stand
70,1424696639345,27922186445000,-9.019556,-3.3728316,-1.086369,a,gear,gear_1,stand
